"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6872","Test Case 3: Verify User is Redirected to Dashboard","webkit","Mon Jan 20 08:06:53 IST 2025","failed","Mon Jan 20 08:07:00 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","30004","Test Case 5: Verify Logout Functionality","firefox","Mon Jan 20 08:44:14 IST 2025","broken","Mon Jan 20 08:44:44 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","30001","Test Case 5: Verify Logout Functionality","webkit","Mon Jan 20 08:44:44 IST 2025","broken","Mon Jan 20 08:45:14 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","30002","Test Case 4: Handle Invalid Login","webkit","Mon Jan 20 08:44:38 IST 2025","broken","Mon Jan 20 08:45:08 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","3905","Login Test Cases","firefox","Sun Jan 19 20:13:56 IST 2025","failed","Sun Jan 19 20:14:00 IST 2025","","Login.spec.js","",""
"","3835","Login Test Cases","webkit","Sun Jan 19 20:39:38 IST 2025","failed","Sun Jan 19 20:39:41 IST 2025","","Login.spec.js","",""
"","5881","Test Case 3: Verify User is Redirected to Dashboard","chromium","Mon Jan 20 09:15:46 IST 2025","passed","Mon Jan 20 09:15:51 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","1295","has title","webkit","Mon Jan 20 08:44:26 IST 2025","passed","Mon Jan 20 08:44:28 IST 2025","","example.spec.js","",""
"","12364","Test Case 1: Verify Login Page Loads Successfully","webkit","Mon Jan 20 08:44:29 IST 2025","passed","Mon Jan 20 08:44:41 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","1001","Test Case 3: Verify that the user is redirected to the dashboard","webkit","Mon Jan 20 02:51:36 IST 2025","failed","Mon Jan 20 02:51:37 IST 2025","Login and Logout Tests","Login.spec.js","",""
"","4246","Verify login page loads and elements are visible","webkit","Mon Jan 20 03:59:16 IST 2025","failed","Mon Jan 20 03:59:20 IST 2025","OrangeHRM Login Tests","login.spec.js","",""
"","4311","Perform valid login and verify dashboard","webkit","Mon Jan 20 03:59:16 IST 2025","failed","Mon Jan 20 03:59:20 IST 2025","OrangeHRM Login Tests","login.spec.js","",""
"","3476","Test Case 2: Perform Valid Login","firefox","Mon Jan 20 08:44:10 IST 2025","passed","Mon Jan 20 08:44:14 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","30004","Test Case 4: Handle Invalid Login","chromium","Mon Jan 20 09:15:53 IST 2025","broken","Mon Jan 20 09:16:23 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","5289","Test Case 3: Verify User is Redirected to Dashboard","chromium","Mon Jan 20 08:21:27 IST 2025","failed","Mon Jan 20 08:21:32 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","4346","Handle invalid login","webkit","Mon Jan 20 03:59:16 IST 2025","failed","Mon Jan 20 03:59:20 IST 2025","OrangeHRM Login Tests","login.spec.js","",""
"","8042","Test Case 4: Handle Invalid Login","webkit","Mon Jan 20 08:07:01 IST 2025","passed","Mon Jan 20 08:07:09 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","6775","Test Case 4: Handle Invalid Login","chromium","Mon Jan 20 08:21:34 IST 2025","passed","Mon Jan 20 08:21:41 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","30022","test","chromium","Sun Jan 19 22:13:21 IST 2025","broken","Sun Jan 19 22:13:51 IST 2025","","Login.spec.js","",""
